0.0003 	WARNING 	Monitor specification not found. Creating a temporary one...
0.0008 	WARNING 	User requested fullscreen with size [1280 1024], but screen is actually [1920, 1080]. Using actual size
1.0190 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f5ad556b750>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=1, size=array([1920, 1080]), stereo=False, units='pix', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
1.0201 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7f5ad554f810>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
1.0217 	EXP 	Created unnamed Rect = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=None, fillColorSpace='rgb', fillRGB=None, interpolate=True, lineColor=array([ 0.,  0.,  0.]), lineColorSpace='rgb255', lineRGB=array([ 0.,  0.,  0.]), lineWidth=1.5, name='unnamed Rect', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 942.4,  628. ]), units='pix', vertices=ndarray(...), win=Window(...))
1.0584 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Solid_white.png', interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1280.,  1024.]), texRes=128, units='pix', win=Window(...))
1.0634 	EXP 	Created unnamed RadialStim = RadialStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, interpolate=False, mask='circle', maskParams=None, name='unnamed RadialStim', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 20.,  20.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=1, size=array([ 20.,  20.]), tex='sqrXsqr', texRes=64, units='pix', win=Window(...))
11.7381 	EXP 	Created unnamed ShapeStim = ShapeStim(autoDraw=False, autoLog=True, closeShape=False, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', interpolate=True, lineColor='black', lineColorSpace='named', lineWidth=1.0, name='unnamed ShapeStim', opacity=1.0, ori=array(0.0), pos=array([-157.06666667,   78.5       ]), size=array([ 1.,  1.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
11.7397 	EXP 	Created unnamed ShapeStim = ShapeStim(autoDraw=False, autoLog=True, closeShape=False, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', interpolate=True, lineColor='black', lineColorSpace='named', lineWidth=1.0, name='unnamed ShapeStim', opacity=1.0, ori=array(0.0), pos=array([  0. ,  78.5]), size=array([ 1.,  1.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
